Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
INVA,"Innoviva, Inc.",14.12,1433289359.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/inva,
INGN,"Inogen, Inc",246.04,5253069638.8,,2014.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ingn,
INOV,"Inovalon Holdings, Inc.",11.8,1801433347.4,,2015.0,Technology,EDP Services,https://www.nasdaq.com/symbol/inov,
INO,"Inovio Pharmaceuticals, Inc.",5.06,462973985.1,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ino,
INPX,Inpixon ,0.1289,5651358.5752,,2014.0,Technology,EDP Services,https://www.nasdaq.com/symbol/inpx,
INSG,Inseego Corp.,3.06,221581240.2,,,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/insg,
NSIT,"Insight Enterprises, Inc.",56.23,1994293440.68,,1995.0,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/nsit,
ISIG,"Insignia Systems, Inc.",2.03,24018417.99,,1991.0,Consumer Services,Advertising,https://www.nasdaq.com/symbol/isig,
INSM,"Insmed, Inc.",21.34,1644051909.72,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/insm,
INSE,"Inspired Entertainment, Inc.",7.1,152541419.7,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/inse,
IIIN,"Insteel Industries, Inc.",40.01,763608374.38,,,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/iiin,
PODD,Insulet Corporation,94.07,5549848918.84,,2007.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/podd,
INSY,"Insys Therapeutics, Inc.",8.06,598413684.44,,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/insy,
NTEC,Intec Pharma Ltd.,3.8,126258754.4,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ntec,
IART,Integra LifeSciences Holdings Corporation,59.22,5041490983.2,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/iart,
IDTI,"Integrated Device Technology, Inc.",37.67,4872531437.65,,1984.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/idti,
IMTE,Integrated Media Technology Limited,12.3395,32620837.9345,,,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/imte,
INTC,Intel Corporation,47.66,219760260000.0,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/intc,
NTLA,"Intellia Therapeutics, Inc.",28.74,1241586192.42,,2016.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/ntla,
IPCI,Intellipharmaceutics International Inc.,0.2363,10287993.7187,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ipci,
IPAR,"Inter Parfums, Inc.",66.25,2074989286.25,,,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ipar,
IBKR,"Interactive Brokers Group, Inc.",61.08,25367372645.52,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ibkr,
ICPT,"Intercept Pharmaceuticals, Inc.",108.45,3206289979.8,,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/icpt,
IDCC,"InterDigital, Inc.",82.7,2878905012.9,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/idcc,
TILE,"Interface, Inc.",23.4,1392163016.4,,,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/tile,
LINK,"Interlink Electronics, Inc.",3.57,23143538.88,,,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/link,
IMI,"Intermolecular, Inc.",1.4,69638721.6,,2011.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/imi,
INAP,Internap Corporation,13.78,292390020.52,,1999.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/inap,
IBOC,International Bancshares Corporation,46.6,3081981217.6,,,Finance,Major Banks,https://www.nasdaq.com/symbol/iboc,
IMXI,"International Money Express, Inc.",9.53,227703463.49,,2017.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/imxi,
IMXIW,"International Money Express, Inc.",1.6,0.0,,2017.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/imxiw,
ISCA,International Speedway Corporation,44.1,1945422019.8,,1996.0,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/isca,
IGLD,Internet Gold Golden Lines Ltd.,2.8833,80741586.1938,,1999.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/igld,
IIJI,"Internet Initiative Japan, Inc.",10.42,16584492.84,1591602.0,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/iiji,
IDXG,"Interpace Diagnostics Group, Inc.",1.35,38062271.25,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/idxg,
XENT,"Intersect ENT, Inc.",27.9,849681470.7,,2014.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/xent,
INTX,"Intersections, Inc.",1.6,38970411.2,,2004.0,Technology,EDP Services,https://www.nasdaq.com/symbol/intx,
IVAC,"Intevac, Inc.",5.625,127031203.125,,1995.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ivac,
INTL,INTL FCStone Inc.,56.5,1068226798.5,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/intl,
ITCI,Intra-Cellular Therapies Inc.,21.3,1165307493.6,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/itci,
IIN,IntriCon Corporation,66.95,563356131.0,,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/iin,
INTU,Intuit Inc.,216.63,55584719529.66,,1993.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/intu,
ISRG,"Intuitive Surgical, Inc.",541.52,61596597102.88,,2000.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/isrg,
